dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.795502,17.271305,0.000643,0.064328,3.216378,160.818898,0.000013
0.020000,1.795502,17.271305,0.003216,0.192983,6.432756,160.818898,0.000004
0.020000,1.799661,17.271305,0.008363,0.321638,6.432756,0.000000,6.283170
0.020000,1.807380,17.271305,0.016082,0.450293,6.432756,-0.000000,6.283141
0.020000,1.817672,17.271304,0.026374,0.578948,6.432756,0.000000,6.283104
0.020000,1.830538,17.271303,0.039240,0.707603,6.432756,0.000000,6.283057
0.020000,1.845976,17.271301,0.054678,0.836258,6.432756,0.000000,6.283001
0.020000,1.863988,17.271297,0.072690,0.964913,6.432756,-0.000000,6.282937
0.020000,1.884573,17.271291,0.093275,1.093569,6.432756,0.000000,6.282865
0.020000,1.907731,17.271282,0.116433,1.222224,6.432756,0.000000,6.282785
0.020000,1.933462,17.271271,0.142164,1.350879,6.432756,0.000000,6.282698
0.020000,1.961766,17.271256,0.170468,1.479534,6.432756,-0.000000,6.282604
0.020000,1.992643,17.271236,0.201345,1.608189,6.432756,0.000000,6.282504
0.020000,2.026094,17.271212,0.234796,1.736844,6.432756,0.000000,6.282399
0.020000,2.062117,17.271182,0.270819,1.865499,6.432756,-0.000000,6.282289
0.020000,2.100714,17.271145,0.309416,1.994154,6.432756,0.000000,6.282175
0.020000,2.141883,17.271101,0.350585,2.122809,6.432756,0.000000,6.282057
0.020000,2.185626,17.271049,0.394328,2.251465,6.432756,0.000000,6.281937
0.020000,2.231942,17.270988,0.440644,2.380120,6.432756,0.000000,6.281816
0.020000,2.280831,17.270918,0.489533,2.508775,6.432756,-0.000000,6.281694
0.020000,2.332293,17.270838,0.540995,2.637430,6.432756,0.000000,6.281572
0.020000,2.386328,17.270748,0.595030,2.766085,6.432756,0.000000,6.281452
0.020000,2.442936,17.270646,0.651638,2.894740,6.432756,0.000000,6.281335
0.020000,2.502117,17.270533,0.710820,3.023395,6.432756,0.000000,6.281221
0.020000,2.563871,17.270409,0.772574,3.152050,6.432756,0.000000,6.281113
0.020000,2.628199,17.270272,0.836902,3.280706,6.432756,-0.000000,6.281010
0.020000,2.695099,17.270123,0.903802,3.409361,6.432756,0.000000,6.280915
0.020000,2.764573,17.269962,0.973276,3.538016,6.432756,-0.000000,6.280829
0.020000,2.836620,17.269790,1.045323,3.666671,6.432756,0.000000,6.280753
0.020000,2.911239,17.269606,1.119943,3.795326,6.432756,0.000000,6.280689
0.020000,2.988432,17.269411,1.197136,3.923981,6.432756,-0.000000,6.280639
0.020000,3.068198,17.269207,1.276902,4.052636,6.432756,0.000000,6.280603
0.020000,3.150537,17.268993,1.359241,4.181291,6.432756,-0.000000,6.280584
0.020000,3.235449,17.268772,1.444154,4.309946,6.432756,0.000000,6.280583
0.020000,3.322934,17.268545,1.531639,4.438602,6.432756,-0.000000,6.280602
0.020000,3.412993,17.268314,1.621698,4.567257,6.432756,0.000000,6.280643
0.020000,3.505624,17.268081,1.714329,4.695912,6.432756,0.000000,6.280708
0.020000,3.600828,17.267850,1.809534,4.824567,6.432756,-0.000000,6.280797
0.020000,3.698606,17.267622,1.907312,4.953222,6.432756,0.000000,6.280915
0.020000,3.798957,17.267401,2.007663,5.081877,6.432756,0.000000,6.281062
0.020000,3.901166,17.267193,2.109873,5.139071,2.859669,-178.654331,6.281239
0.020000,4.003233,17.267004,2.211939,5.067609,-3.573087,-321.637797,6.281443
0.020000,4.103298,17.266841,2.312005,4.938954,-6.432756,-142.983465,6.281670
0.020000,4.200791,17.266705,2.409498,4.810299,-6.432756,-0.000000,6.281917
0.020000,4.295710,17.266597,2.504417,4.681643,-6.432756,0.000000,6.282182
0.020000,4.388056,17.266517,2.596763,4.552988,-6.432756,0.000000,6.282462
0.020000,4.477829,17.266465,2.686537,4.424333,-6.432756,-0.000000,6.282757
0.020000,4.565030,17.266441,2.773737,4.295678,-6.432756,0.000000,6.283063
0.020000,4.649657,17.266444,2.858364,4.167023,-6.432756,-0.000000,0.000194
0.020000,4.731710,17.266473,2.940418,4.038368,-6.432756,0.000000,0.000519
0.020000,4.811191,17.266528,3.019898,3.909713,-6.432756,0.000000,0.000851
0.020000,4.888099,17.266606,3.096806,3.781058,-6.432756,-0.000000,0.001188
0.020000,4.962433,17.266707,3.171141,3.652403,-6.432756,0.000000,0.001529
0.020000,5.034195,17.266829,3.242902,3.523747,-6.432756,-0.000000,0.001872
0.020000,5.103383,17.266970,3.312091,3.395092,-6.432756,0.000000,0.002215
0.020000,5.169998,17.267129,3.378706,3.266437,-6.432756,0.000000,0.002558
0.020000,5.234040,17.267304,3.442748,3.137782,-6.432756,-0.000000,0.002898
0.020000,5.295509,17.267492,3.504217,3.009127,-6.432756,0.000000,0.003235
0.020000,5.354405,17.267693,3.563113,2.880472,-6.432756,0.000000,0.003568
0.020000,5.410727,17.267903,3.619436,2.751817,-6.432756,0.000000,0.003894
0.020000,5.464476,17.268120,3.673186,2.623162,-6.432756,0.000000,0.004214
0.020000,5.515653,17.268344,3.724362,2.494506,-6.432756,-0.000000,0.004525
0.020000,5.564256,17.268571,3.772966,2.365851,-6.432756,0.000000,0.004827
0.020000,5.610286,17.268800,3.818997,2.237196,-6.432756,-0.000000,0.005119
0.020000,5.653742,17.269029,3.862454,2.108541,-6.432756,0.000000,0.005399
0.020000,5.694626,17.269255,3.903338,1.979886,-6.432756,-0.000000,0.005668
0.020000,5.732937,17.269477,3.941649,1.851231,-6.432756,0.000000,0.005924
0.020000,5.768674,17.269693,3.977387,1.722576,-6.432756,-0.000000,0.006166
0.020000,5.801838,17.269901,4.010552,1.593921,-6.432756,0.000000,0.006393
0.020000,5.832429,17.270100,4.041144,1.465266,-6.432756,0.000000,0.006606
0.020000,5.860448,17.270288,4.069163,1.336610,-6.432756,-0.000000,0.006803
0.020000,5.885893,17.270463,4.094609,1.207955,-6.432756,0.000000,0.006983
0.020000,5.908765,17.270625,4.117481,1.079300,-6.432756,-0.000000,0.007147
0.020000,5.929064,17.270771,4.137781,0.950645,-6.432756,0.000000,0.007294
0.020000,5.946789,17.270902,4.155507,0.821990,-6.432756,0.000000,0.007422
0.020000,5.961942,17.271015,4.170660,0.693335,-6.432756,-0.000000,0.007533
0.020000,5.974522,17.271111,4.183240,0.564680,-6.432756,0.000000,0.007626
0.020000,5.984529,17.271187,4.193247,0.436025,-6.432756,-0.000000,0.007699
0.020000,5.991963,17.271245,4.200681,0.307369,-6.432756,0.000000,0.007755
0.020000,5.996823,17.271282,4.205542,0.178714,-6.432756,0.000000,0.007791
0.020000,5.999182,17.271301,4.207901,0.057193,-6.076047,17.835433,0.007808
0.020000,5.999754,17.271305,4.208473,0.000000,-2.859669,160.818898,0.007812
0.020000,5.999754,17.271305,4.208473,0.000000,0.000000,142.983465,0.007812
